platform,komentar,timestamp
youtube,Daya Rusaknya sangat dahsyat. Mdh2an cepat pulih ini negri.,2025-05-01 19:19:23
youtube,"kalau mayoritas komen isinya hujatan semua berarti kan ada yg salah, bukan karna bayaran, itu menandakan bahwa wapres saat ini telah merusak tatanan negara ini !!!!!",2025-05-01 19:19:23
youtube,"Jan bawa bawa Jumbo plis, jan numpang tenar. Selama ini elu yg ngegencarin AI, pas ada animasi ini, masyarakat indo sendiri yg mati matian ngedukung ni animasi ampe otw masuk top 3 film terlaris sepanjang masa di indonesia. Peran pemerintah mana coba, ngedanain untuk pembuatan animasinya aja ga. Malu kali ama tetangga yg ada Badan pemerintahannya yg ngurus pendanaan animasi buatan sana bukan sekedar ngomong doang tpi ada tindakannya, mereka ngedanain untuk company'' film malaysia buat film'' animasi.",2025-05-01 19:19:23
youtube,"Tolong jangan salahkan Gibran. Pemimpin adalah gambaran rakyatnya.

Mas Gibran adalah contoh.. sampel dari..
1. Orang tua kaya yang memaksakan anaknya jadi dokter hanya karena kaya tapi miskin bekal kesiapan mental anak shg jadi dokter bloon.
2. Org tua yg memaksakan anak pemalasnya menjadi guru dan kepala sekolah (daripada ga kerja) shg membentuk siswa2 pemalas.
3. Paman yg memaksakan ponakannya jadi tenaga ahli IT sebuah institusi sehingga aplikasi IT yg dipake seantero Indonesia ga user friendly dan menyusahkan jutaan orang pengguna.
Mas Gibran tdk selayaknya dihujat.. tdk mudah di posisi beliau yg hrus selalu siap di bully Krn kapabilitas dan kapasitas diri yg terlalu dipaksakan. 

Ada jutaan pengacara, polisi, guru, dokter, kepala sekolah yang memiliki kesamaan kondisi seperti mas Gibran. Dan itu tidak menyenangkan. 

Mas Gibran adalah contoh agar semua org Indonesia melihat betapa tidak nyamannya memaksakan jabatan yg bukan kapasitasnya.

Jangan hujat mas Gibran. Dia korban.. kasihanilah dia... ",2025-05-01 19:19:23
youtube,"Hanya di Indonesia, sekelas Wakil Presiden nggak ada harga nya.
Netizen memang pollllllllll",2025-05-01 19:19:23
youtube,"Anda itu cuma menang privilege, Mas Gibran. Tanpa bapak Mulyono kesayanganmu itu yang melampiaskan rasa sayang kepadamu sampai kebablasan, paling detik ini kamu jadi mas-mas pekerja kantoran biasa. Gak lebih.",2025-05-01 19:19:23
youtube,Video berikutnya mengenai perjuangan Fufufafa menjadi pejabat negara. Pasti banyak yng like,2025-05-01 19:19:23
youtube,Hallo Wonogiri hadir semoga kedepan aq bisa pulkam bisa membuka usaha.hidup dikampung tanpa ada pendapatan pekerjaan sulit gk punya lahan sangat sulit.Tetap semangat semoga cita2 kita tercapai.,2025-05-01 19:19:23
youtube,"Alangkah sebuah inovasi yang jenius, jika pemerintahan prabowo- gibran menetapkan ""Hari Paman"" di kalender nasional.. Jangan cuma hari Ibu & Ayah saja. Para- para Paman juga banyak jasanya :)",2025-05-01 19:19:23
youtube,"Semakin scroll kolom komentar kebawah MAKIN KEREN AJAH, salut sama kalian, kalian pengamat yang cerdas, salut dengan team editor muda totalitas memoles doi, semoga doi bisa berkaca dan coba merenung pencapaian apa kalau tdk ada bapak....sehingga merubah judul ini menjadi GENERASI MUDAH,BONUS DARI KELUARGA, MASABODO INDONESIA.",2025-05-01 19:19:23
youtube,"Yakinlah , ketika bapak kita menjabat dapat dipastikan kita kerja. Tanpa perlu mikir, tanpa pikiran , bisa menjabat. Negeri paling konyol di dunia saat ini",2025-05-01 19:19:23
youtube,"Awalnya sy ga khawatir Mas, sy optimis hidup di indonesia ini., tp semenjak MK diacak acak gini sy pesimis mas",2025-05-01 19:19:23
youtube,"harusnya dikasih trigger warning, ga semua orang sanggup buat nonton muka dia even di thumbnailnya aja",2025-05-01 19:19:23
youtube,"Contoh buruk anak muda,berarti untuk menggapai cita cita segala hal dihalal kan,bahkan ngacak2 konstitusi,lewat bantuan paman,numpang nama bapakk..sungguh moralll yang sangaat sangattt tepatt buat anak muda masa depan....yang suram",2025-05-01 19:19:23
